,user,text,favorite_count,retweet_count,created_at
166,elonmusk,The new CEO of Twitter is amazing https://t.co/yBqWFUDIQH,1259698,90354,2023-02-15 03:17:55+00:00
167,elonmusk,@stillgray @EvaFoxU Allowing users to make some of their Lists optionally public would be great,2301,177,2023-02-15 02:00:29+00:00
168,elonmusk,@Teslaconomics Minus gas tanks,58309,1409,2023-02-15 01:49:04+00:00
169,elonmusk,@EvaFoxU @armrods It is still far too difficult to find out that Lists exist and then create them. UI modifications coming to make them easy to discover and offer great lists made by others (like Spötify playlists).,1772,142,2023-02-15 01:44:19+00:00
170,elonmusk,"Yes, worth noting that accounts you follow on Lists are private https://t.co/B2iqJDZJG8",31157,2188,2023-02-15 01:38:23+00:00
171,elonmusk,@ESYudkowsky @Liv_Boeree Yikes,3263,160,2023-02-15 01:33:10+00:00
172,elonmusk,Twitter pinned lists are great https://t.co/0Yl14bkS5J,27972,2090,2023-02-15 01:31:44+00:00
173,elonmusk,@cb_doge @alifarhat79 High mileage club,2465,148,2023-02-15 01:18:25+00:00
174,elonmusk,@hikingskiing A lot has happened in ten years,11867,525,2023-02-15 00:43:45+00:00
175,elonmusk,@YoungBudgeteer @Jarrad_Hicks @abidc @anothercohen @chefcowboyardee That’s how I do it,1434,80,2023-02-15 00:37:24+00:00
176,elonmusk,"@alifarhat79 Damn, that’s impressive bus driving!",18788,459,2023-02-15 00:31:59+00:00
177,elonmusk,@cb_doge @runews Haha exactly. I don’t even follow them and still I see their articles!,2733,174,2023-02-14 20:09:49+00:00
178,elonmusk,@monitoringbias Science-fiction ftw,6383,287,2023-02-14 19:48:20+00:00
179,elonmusk,@runews Just like other media lol,14253,361,2023-02-14 19:45:02+00:00
180,elonmusk,@BillyM2k I get all my opinions from Twitter,23375,1078,2023-02-14 19:42:04+00:00
181,elonmusk,"@WallStreetSilv Low birth rates lead to ghost cities and, eventually, ghost civilizations",51985,4146,2023-02-14 19:40:14+00:00
182,elonmusk,@minliangtan Turns out we just needed to blow on the cartridge https://t.co/0pLkDOYmLe,109442,5190,2023-02-14 18:06:49+00:00
183,elonmusk,@WholeMarsBlog There’s no substitute for good judgment,8627,500,2023-02-14 17:28:03+00:00
184,elonmusk,@WallStreetSilv A worthy goal @cb_doge!,5566,295,2023-02-14 16:59:25+00:00
185,elonmusk,@cb_doge 🍦 😋,8127,208,2023-02-14 16:56:01+00:00
186,elonmusk,@SciGuySpace This year should average around 400 tons of useful mass to orbit per quarter,4392,251,2023-02-14 16:44:34+00:00
187,elonmusk,@TrungTPhan @Airbnb,5404,226,2023-02-14 16:38:47+00:00
188,elonmusk,@BillyM2k Nice,4817,217,2023-02-14 16:34:46+00:00
189,elonmusk,@BillyM2k 🤣🤣,8982,326,2023-02-14 16:32:17+00:00
190,elonmusk,@libsoftiktok My English grandmother taught me that it is disrespectful to use pronouns and that one should always use the person’s name,125729,7015,2023-02-14 16:31:12+00:00
191,elonmusk,@WholeMarsBlog @GretaThunberg Twilight,5662,245,2023-02-14 16:23:38+00:00
192,elonmusk,♥️♥️ Happy Valentine’s Day ♥️♥️,649810,44150,2023-02-14 16:22:37+00:00
